No,HID,Hotel-Name,UPDATE URL 15 JAN,SLUG,Supplier-or-Direct,Country,SEARCH
1572,226657,holiday-inn-express-causeway-bay-hong-kong,www.gother.com/th-th/hotels/hong-kong/hong-kong/causeway-bay/holiday-inn-express-causeway-bay-hong-kong,hong-kong/hong-kong/causeway-bay/holiday-inn-express-causeway-bay-hong-kong,Supplier,hong-kong,36
1622,223213,hyatt-regency-taoyuan-international-airport,www.gother.com/th-th/hotels/taiwan/taoyuan/dayuan/hyatt-regency-taoyuan-international-airport,taiwan/taoyuan/dayuan/hyatt-regency-taoyuan-international-airport,Supplier,taiwan,36
1626,885724,c-j-hotel,www.gother.com/th-th/hotels/taiwan/taipei/wanhua-district/c-j-hotel,taiwan/taipei/wanhua-district/c-j-hotel,Supplier,taiwan,36
2117,312160,w-mini-hotel,www.gother.com/th-th/hotels/south-korea/seoul/seongbuk-gu/w-mini-hotel,south-korea/seoul/seongbuk-gu/w-mini-hotel,Supplier,south-korea,36
2139,73962,hotel-homers,www.gother.com/th-th/hotels/south-korea/busan/suyeong-gu/hotel-homers,south-korea/busan/suyeong-gu/hotel-homers,Supplier,south-korea,36
248,767651,Krabi-SeaBass-Hotel,www.gother.com/th-th/hotels/thailand/krabi/muang-krabi/krabi-seabass-hotel,thailand/krabi/muang-krabi/krabi-seabass-hotel,DIRECT,thailand,35
1561,242,ibis-hong-kong-north-point,www.gother.com/th-th/hotels/hong-kong/hong-kong/north-point/ibis-hong-kong-north-point,hong-kong/hong-kong/north-point/ibis-hong-kong-north-point,Supplier,hong-kong,35
1563,298,nathan-hotel,www.gother.com/th-th/hotels/hong-kong/kowloon/yau-ma-tei/nathan-hotel,hong-kong/kowloon/yau-ma-tei/nathan-hotel,Supplier,hong-kong,35
1566,337,iclub-wan-chai-hotel,www.gother.com/th-th/hotels/hong-kong/hong-kong/wanchai/iclub-wan-chai-hotel,hong-kong/hong-kong/wanchai/iclub-wan-chai-hotel,Supplier,hong-kong,35
1623,164615,east-dragon-hotel,www.gother.com/th-th/hotels/taiwan/taipei/wanhua-district/east-dragon-hotel,taiwan/taipei/wanhua/east-dragon-hotel,Supplier,taiwan,35
1850,9228,pullman-shanghai-jingan,www.gother.com/th-th/hotels/china/shanghai/jing-an/pullman-shanghai-jingan,china/shanghai/jing-an/pullman-shanghai-jingan,Supplier,china,35
2116,646454,hongdae-guesthouse,www.gother.com/th-th/hotels/south-korea/seoul/myeongdong/hongdae-guesthouse,south-korea/seoul/myeongdong/hongdae-guesthouse,Supplier,south-korea,35
2118,312040,lotte-hotel-seoul,www.gother.com/th-th/hotels/south-korea/seoul/jung-gu/lotte-hotel-seoul,south-korea/seoul/jung-gu/lotte-hotel-seoul,Supplier,south-korea,35
195,451775,Proud-Phuket,www.gother.com/th-th/hotels/thailand/phuket/thalang/proud-phuket,thailand/phuket/thalang/proud-phuket,DIRECT,thailand,34
338,190899,lanta-sand-resort-spa,www.gother.com/th-th/hotels/thailand/krabi/koh-lanta/lanta-sand-resort-spa,thailand/krabi/koh-lanta/lanta-sand-resort-spa,DIRECT,thailand,34
351,772280,Little-Shelter-Hotel-Chiang-Mai,www.gother.com/th-th/hotels/thailand/chiang-mai/muang-chiang-mai/little-shelter-hotel-chiang-mai,thailand/chiang-mai/muang-chiang-mai/little-shelter-hotel-chiang-mai,DIRECT,thailand,34
1478,7364,the-prince-park-tower-tokyo,www.gother.com/th-th/hotels/japan/tokyo/minato/the-prince-park-tower-tokyo-preferred-hotels-resorts-lvx-collection,japan/tokyo/minato/the-prince-park-tower-tokyo,Supplier,japan,34
1482,829866,monday-apart-premium-ueno,www.gother.com/th-th/hotels/japan/tokyo/taito/monday-apart-premium-ueno,japan/tokyo/taito/monday-apart-premium-ueno,Supplier,japan,34
1499,6990,shin-osaka-sunny-stone-hotel,www.gother.com/th-th/hotels/japan/osaka/osaka/shin-osaka-sunny-stone-hotel,japan/osaka/osaka/shin-osaka-sunny-stone-hotel,Supplier,japan,34
1500,786033,mitsui-garden-hotel-gotanda-tokyo,www.gother.com/th-th/hotels/japan/tokyo/shinagawa/mitsui-garden-hotel-gotanda-tokyo,japan/tokyo/shinagawa/mitsui-garden-hotel-gotanda-tokyo,Supplier,japan,34
1560,387,the-park-lane-hong-kong-autograph-collection,www.gother.com/th-th/hotels/hong-kong/hong-kong/causeway-bay/the-park-lane-hong-kong-autograph-collection,hong-kong/hong-kong/causeway-bay/the-park-lane-hong-kong-autograph-collection,Supplier,hong-kong,34
1562,763513,the-president-hotel-at-chokchai-4,www.gother.com/th-th/hotels/thailand/bangkok/lat-phrao/the-president-hotel-at-chokchai-4,hong-kong/kowloon/yau-tsim-mong/the-president-hotel-at-chokchai-4,Supplier,hong-kong,34
1862,897245,atour-hotel-shanghai-bund-east-nanjing-road,www.gother.com/th-th/hotels/china/shanghai/huangpu/atour-hotel-shanghai-bund-east-nanjing-road,china/shanghai/huangpu/atour-hotel-shanghai-bund-east-nanjing-road,Supplier,china,34
1869,124508,chimelong,www.gother.com/th-th/hotels/china/guangdong/guangzhou/chimelong,china/guangdong/guangzhou/chimelong,Supplier,china,34
38,1723,Comsaed-River-Kwai-Resort,www.gother.com/th-th/hotels/thailand/kanchanaburi/muang-kanchanaburi/comsaed-river-kwai-resort,thailand/kanchanaburi/muang-kanchanaburi/comsaed-river-kwai-resort,DIRECT,thailand,33
294,137190,Pas-Cher-Hotel-De-Bangkok,www.gother.com/th-th/hotels/thailand/bangkok/bang-rak/pas-cher-hotel-de-bangkok,thailand/bangkok/bang-rak/pas-cher-hotel-de-bangkok,DIRECT,thailand,33
1491,5680,kozantei-ubuya,www.gother.com/th-th/hotels/japan/yamanashi/minamitsuru/kozantei-ubuya,japan/yamanashi/minamitsuru/kozantei-ubuya,Supplier,japan,33
1493,5246,hotel-shoho,www.gother.com/th-th/hotels/japan/nagano/matsumoto/hotel-shoho,japan/nagano/matsumoto/hotel-shoho,Supplier,japan,33
1496,850610,checkinn-osaka-shinimamiya,www.gother.com/th-th/hotels/japan/osaka/namba/checkinn-osaka-shinimamiya,japan/osaka/namba/checkinn-osaka-shinimamiya,Supplier,japan,33
